################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
IN SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
GOLD SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
PRED SEQ:	 b'what was said in the last ones to the d ##nc was horrible , horrible .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0061563817, 0.007082485, 0.00495345, 0.0001064584, 0.000101768994, 0.009278581, 0.005017316, 0.000103925035, 1.6309003e-05, 0.00028087912, 0.0009863935, 0.18042426, 0.34299996, 0.0002062688, 0.61200917, 0.12502591, 4.9882794e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is the hate ##ful attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD SEQ: 	 b'this is the hate ##ful attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
PRED SEQ:	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.1677457e-05, 0.00012260873, 7.2872767e-06, 0.9995633, 0.99889225, 4.134645e-06, 1.1696444e-06, 4.626387e-05, 1.0039529e-05, 2.4974565e-06, 1.4620909e-05, 7.99987e-06, 1.2941941e-06, 2.9322837e-06, 1.9376887e-06, 2.4364297e-06, 9.616189e-07, 2.1653161e-06, 1.8034881e-06, 6.319424e-06, 3.5619512e-06, 1.567714e-06, 2.0918603e-06, 1.2132997e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he just said that .'
GOLD SEQ: 	 b'he just said that .'
PRED SEQ:	 b'he said that .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.263507, 0.46704525, 0.12290932, 0.42850578, 0.039268788]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the miners are out of work , they ' re totally out of work ."
GOLD SEQ: 	 b"the miners are out of work , they ' re totally out of work ."
PRED SEQ:	 b"the miners are out of work , they ' re out of work ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0016708322, 0.011998897, 0.012407133, 9.7295975e-05, 4.851075e-06, 1.6589891e-05, 9.298754e-06, 0.008978331, 0.0012369443, 0.0010413785, 0.92375785, 5.1956427e-05, 5.0777962e-06, 1.36957415e-05, 8.280277e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts completely tax - free .'
GOLD SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts completely tax - free .'
PRED SEQ:	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.078700244, 0.033747014, 0.00023786514, 8.723088e-06, 3.2823789e-06, 1.7653967e-05, 1.9474188e-05, 3.1122886e-06, 1.4680667e-05, 4.9368475e-05, 2.5628273e-05, 4.836358e-05, 3.3851325e-06, 0.009342315, 0.0028776089, 0.5570629, 0.043062575, 0.03177646, 0.065508656, 4.681325e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
GOLD SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
PRED SEQ:	 b'we will pursue these relationships with our eyes wide open , and a understanding of many , many differences .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08821992, 0.44186813, 0.014029242, 0.010565692, 0.002927794, 6.0033217e-05, 0.19796912, 1.581853e-05, 0.0005746701, 1.535856e-05, 6.4594083e-06, 0.0026404718, 0.0013196222, 0.19528735, 0.001126047, 3.4199376e-05, 0.13439998, 0.0013182856, 1.2442059e-05, 0.0022692387, 0.00069054146, 2.8891483e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
PRED SEQ:	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.027546618, 0.00063323043, 7.1621985e-06, 0.05995816, 0.00015973956, 5.40579e-06, 0.004674103, 3.1650725e-05, 1.7941771e-05, 2.7784356e-05, 2.4000062e-06, 1.5691314e-05, 1.9359304e-06, 9.3587505e-06, 2.988467e-06, 0.0044247867, 0.00033738354, 0.00044125482, 0.00016127399, 0.032665014, 0.006935255, 0.013325261, 0.0012284917, 0.49523836, 0.2393693, 0.0006779639, 5.6252065e-06, 1.8961151e-05, 4.116633e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in the 1940s we saved the world .'
GOLD SEQ: 	 b'in the 1940s we saved the world .'
PRED SEQ:	 b'in the 1940s , in the 1940s , the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.762843e-05, 3.6300375e-05, 6.914121e-05, 0.9665754, 0.0047469027, 9.658111e-06, 0.00020405541, 7.602582e-06]
GOLD TOK: 	 []
PRED TOK: 	 [[',', 'in'], ['1940s', ',', 'the', 'united', 'states']]
################################################################################
IN SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
PRED SEQ:	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.064965114, 0.13589749, 0.06315422, 0.25501993, 0.008924798, 0.0860173, 0.0005167417, 0.0012828661, 0.00018340802, 0.0002767095, 0.0006400591, 0.049063843, 0.02549239, 0.0070981216, 0.00015938841, 0.030350365, 0.00037476147, 0.002050436, 0.0004530138, 0.06825459, 0.029808093, 0.077402346, 0.00024336856]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
GOLD SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
PRED SEQ:	 b'one thing i can promise you is this : i will always tell you the truth .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5295428, 0.013283421, 0.024767736, 0.0058774315, 0.019399423, 0.0006055985, 0.003450828, 0.0024259188, 0.023799442, 0.0006621374, 0.0018531361, 0.00096931506, 0.0069877263, 6.911906e-05, 0.0014303827, 0.0004411955, 0.087438755, 0.00022954347]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
GOLD SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
PRED SEQ:	 b'obama ##care is a disaster , people are dying with it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22168693, 0.66758615, 0.16205569, 0.008445124, 0.21555069, 3.3889784e-05, 0.014836115, 0.0016049632, 0.028876627, 0.0011646621, 0.0048788404, 9.712133e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
PRED SEQ:	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.019366898, 0.0045802975, 7.052882e-05, 0.48362184, 0.077131934, 0.00026556003, 0.00075227354, 0.0012913191, 0.00431046, 0.00069056905, 0.0004144929, 0.00063902634, 0.02000224, 3.6553265e-05, 0.00036653067, 4.1913696e-05, 0.001162771, 0.0007972342, 0.0023009835, 0.091967404, 0.00014295899]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
GOLD SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
PRED SEQ:	 b'and i have to tell you , the colleges are viewing the students as a to it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.015819358, 0.0021472054, 0.009947636, 0.0069935587, 0.0057206023, 0.04017968, 5.0371902e-05, 0.0028167844, 0.01589059, 0.0033927409, 0.027428702, 0.0020174945, 0.0021646877, 0.0006389676, 0.41245684, 0.0018957992, 0.21956171, 0.0025771018, 0.016497266, 5.875761e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he ought to be out in the white house .'
GOLD SEQ: 	 b'he ought to be out in the white house .'
PRED SEQ:	 b'he hopes to be out in the white house .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21444193, 0.9014412, 0.00043984753, 0.0003223394, 0.18169016, 0.00014007684, 7.153919e-05, 0.0023404653, 0.00019534437, 0.00013919736]
GOLD TOK: 	 []
PRED TOK: 	 [['hopes']]
################################################################################
IN SEQ: 	 b'he has been a disaster as a president .'
GOLD SEQ: 	 b'he has been a disaster as a president .'
PRED SEQ:	 b'he has been a as a president .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.054670915, 0.069311865, 0.04919147, 0.008474419, 0.83814794, 0.00016365528, 0.000104832485, 0.009042758, 0.0001818762]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
GOLD SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
PRED SEQ:	 b'we want to admit people to our country who will support our values and love our people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09039502, 0.3929221, 0.0005696548, 4.2483534e-06, 0.0008479381, 0.00025375446, 4.4399058e-06, 0.17132041, 0.0038884305, 0.0017596193, 0.057474468, 0.00033526382, 0.042718567, 5.6593915e-05, 4.624468e-05, 0.0062228255, 0.06661397, 0.00039235863, 1.140953e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from our neighborhoods .'
GOLD SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from our neighborhoods .'
PRED SEQ:	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from neighborhoods .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00046604086, 0.006692315, 3.6692658e-05, 1.6688243e-06, 1.9338675e-06, 1.2637875e-06, 2.363875e-06, 1.3528056e-06, 1.6168738e-06, 1.3436485e-06, 3.3150643e-06, 1.3622644e-06, 1.2645518e-06, 1.7235185e-06, 5.449544e-06, 0.00011465479, 7.21446e-05, 0.00010498414, 2.0971933e-05, 1.636743e-06, 1.9283061e-05, 2.6917602e-05, 1.7593865e-06, 4.081467e-06, 0.0007883099, 0.00035304338, 7.5396674e-05, 3.7718657e-06, 0.96865684, 1.379326e-05, 3.199812e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it is ok . as the baby that had a voice that was superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD SEQ: 	 b"it is ok . as the baby that had a voice that was superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
PRED SEQ:	 b"it is ok . as the baby that had a voice that was designed to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00020605688, 0.00050481764, 0.0006178669, 2.9432522e-06, 5.4833657e-05, 4.2737843e-06, 0.0003614722, 2.6975473e-05, 6.264182e-05, 1.4388979e-05, 4.273683e-05, 0.00018577758, 0.20219697, 0.9352287, 2.8550821e-06, 2.5286918e-06, 2.448528e-06, 3.1642858e-06, 0.00033544187, 3.401815e-06, 0.00019028537, 0.00017974105, 6.839977e-05, 1.8878787e-05, 3.8479327e-05, 1.0722703e-06, 6.816652e-06, 3.8238577e-06, 6.0186057e-06, 1.2533571e-06, 5.344472e-06, 9.140067e-07, 1.4169561e-06, 1.023549e-06, 1.2231516e-06, 2.0276345e-06, 8.42715e-07, 7.854204e-06, 3.5864286e-06, 5.8774704e-06, 1.3418173e-06]
GOLD TOK: 	 []
PRED TOK: 	 [['designed']]
################################################################################
IN SEQ: 	 b'i want to create safe zones in the middle east .'
GOLD SEQ: 	 b'i want to create safe zones in the middle east .'
PRED SEQ:	 b'i want to create safe zones in the middle east .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20182662, 0.3049211, 0.00036617825, 0.0048823515, 0.32954174, 0.0016802904, 0.00031072454, 0.0003287024, 0.026145454, 0.0012536137, 0.00045410547]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
PRED SEQ:	 b"[ claiming that boo ' re we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.19552554, 0.9679809, 0.9716851, 0.12833256, 0.013926461, 4.0963154e-05, 0.0003568359, 0.0063616866, 5.4988028e-05, 0.00040540294, 0.00056373957, 9.262193e-05, 0.0073768585, 9.611544e-06, 0.0005837919, 0.00072218943, 0.0003613216, 5.4601147e-05, 0.0003049297, 2.5781574e-06, 2.7010248e-05, 4.8111175e-05, 0.00037638212, 4.811778e-06, 2.2533708e-05, 0.00010916296, 0.0005330223, 1.9072122e-05, 8.807096e-06]
GOLD TOK: 	 []
PRED TOK: 	 [['claiming', 'that'], ["'", 're']]
################################################################################
IN SEQ: 	 b"and it ' s not even one day ."
GOLD SEQ: 	 b"and it ' s not even one day ."
PRED SEQ:	 b"and it ' s not only one day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0032944083, 7.9989695e-05, 0.00021132124, 0.00082794187, 0.00025024236, 0.99467397, 9.380446e-05, 2.5466597e-05, 1.0934973e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['only']]
################################################################################
IN SEQ: 	 b'she could have changed those laws when she was in the senate .'
GOLD SEQ: 	 b'she could have changed those laws when she was in the senate .'
PRED SEQ:	 b'she may have changed those laws when she was in the senate .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.28632563, 0.4725608, 0.0712144, 0.01913547, 0.13163508, 0.01505593, 0.00028829623, 0.04528071, 0.002510028, 0.00015628654, 4.1414467e-05, 0.0029042994, 0.0051355967]
GOLD TOK: 	 []
PRED TOK: 	 [['may']]
################################################################################
IN SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
PRED SEQ:	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [8.992008e-06, 2.1309654e-06, 2.376778e-06, 0.11515649, 0.00018046368, 6.7736487e-06, 5.1677102e-06, 2.5355077e-05, 4.304585e-06, 0.000108408814, 0.57374644, 0.0012551192, 2.4207823e-06, 3.7393272e-06, 1.9370278e-05, 1.9780855e-06, 2.0634814e-06, 1.8390884e-06, 2.3674759e-06, 0.16814312, 1.1079824e-05, 2.7584879e-06, 0.0006897772, 1.7769232e-06, 5.345389e-06, 2.5525269e-05, 0.0028802275, 0.0031842072, 0.0155048845, 1.4154286e-06, 0.0007128956, 1.3507014e-05, 1.7839018e-06, 3.2248194e-05, 2.2316837e-05, 1.7851713e-06, 6.713697e-06, 2.1296375e-05, 1.9240742e-05, 6.5526285e-05, 1.3313955e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we have to solve this crisis .'
GOLD SEQ: 	 b'we have to solve this crisis .'
PRED SEQ:	 b'we have to solve this this .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.36333013, 0.06377837, 0.00092886353, 0.0075497376, 0.025206583, 0.50379246, 0.0006388671]
GOLD TOK: 	 []
PRED TOK: 	 [['this']]
################################################################################
IN SEQ: 	 b'this is maybe in a sense even more important .'
GOLD SEQ: 	 b'this is maybe in a sense even more important .'
PRED SEQ:	 b'this is in a sense more important .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07852299, 0.12982644, 0.503926, 0.0022182309, 0.0005055995, 0.0018800874, 0.3711777, 0.032060288, 0.05959139, 0.0020698712]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ applause ] but that ' s a really big deal ."
GOLD SEQ: 	 b"[ applause ] but that ' s a really big deal ."
PRED SEQ:	 b"[ film s but that that ' s a really big deal ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11731784, 0.434504, 0.11439405, 0.027416138, 0.009414136, 0.0071292073, 0.03148347, 0.00799083, 0.3472027, 0.02860713, 0.014191079, 0.0028780685]
GOLD TOK: 	 []
PRED TOK: 	 [['film', 's'], ['that']]
################################################################################
IN SEQ: 	 b'she wants to go home and go to sleep .'
GOLD SEQ: 	 b'she wants to go home and go to sleep .'
PRED SEQ:	 b'she is designed to go home and go to sleep .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5015737, 0.64583963, 4.4825883e-05, 8.100748e-05, 0.00021835779, 5.2585234e-05, 4.2543394e-05, 1.8244848e-05, 0.0006479408, 0.00024367317]
GOLD TOK: 	 []
PRED TOK: 	 [['is', 'designed']]
################################################################################
IN SEQ: 	 b"if something isn ' t working , you replace it ."
GOLD SEQ: 	 b"if something isn ' t working , you replace it ."
PRED SEQ:	 b"if something isn ' t working , it replace it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04760646, 0.0009103586, 0.0003034255, 1.6077258e-05, 5.8062804e-05, 0.0007737309, 1.1471809e-05, 0.9066696, 0.031192709, 0.0004792623, 2.0819985e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['it']]
################################################################################
IN SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
PRED SEQ:	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.001420704, 0.003883827, 0.01656759, 0.0025887657, 0.42507187, 0.00020658452, 1.09219445e-05, 2.1699655e-06, 7.4835452e-06, 4.4835015e-06, 0.00037470742, 0.069150954, 0.011548903, 0.0003014837, 0.2008063, 0.009140396, 0.00021049676, 0.010690539, 0.034863807, 0.0060183536, 3.3620443e-05]
