################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
PRED DIST: 	 [0.3432115, 0.18087947, -0.021836963, 0.08038948, 0.23886347, 0.28960326, 0.3268491, 0.41437793, 0.6460723, 0.0977751, 0.2164119, -0.04828277, 0.33761334, 0.84726644, 0.20375486, 0.029151693, 0.39999664, 0.46260825, 0.0140802935, 0.17066698, 0.19284189, -0.039814916, 0.26656368, 0.7072408]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he just said that .'
GOLD SEQ: 	 b'he just said that .'
PRED SEQ:	 b'he just said that .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31191948, 0.42358392, 0.52544963, 0.5349803, 0.4651087]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the miners are out of work , they ' re totally out of work ."
GOLD SEQ: 	 b"the miners are out of work , they ' re totally out of work ."
PRED SEQ:	 b"the miners are out of work , they ' re be out of work ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.6624408, 0.67895687, 0.49567503, 0.5133952, 0.52712417, 0.49329323, 0.22124185, 0.34055987, 0.33057314, 0.5833815, 0.68123335, 0.5307714, 0.5656966, 0.57292557, 0.88937354]
GOLD TOK: 	 []
PRED TOK: 	 [['be']]
################################################################################
IN SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts completely tax - free .'
GOLD SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts completely tax - free .'
PRED SEQ:	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.48997948, 0.6511398, 0.37310603, 0.7943776, 0.671768, 0.44356495, 0.56005454, -0.2147015, 0.54324526, 0.56194794, 0.8874934, 0.23121077, 0.5425753, 0.17524713, 0.3704427, 0.5000845, 0.31476018, 0.33736658, 0.13048688, 0.9031471]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
GOLD SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
PRED SEQ:	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.48423195, 0.37691176, 0.19676563, 0.13975644, 0.39965555, 0.39575666, 0.11571579, 0.45388466, 0.38056916, 0.43727326, 0.3859373, 0.32597482, 0.4275638, 0.23966357, 0.47520408, 0.28072882, 0.19800515, 0.49659777, 0.6309424, 0.59538925, 0.3408661, 0.76268435]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
PRED SEQ:	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0672159, 0.14390996, 0.19308428, 0.18868552, 0.42354506, 0.3641698, 0.28716892, 0.3971349, 0.60142857, 0.38173392, 0.35188025, 0.21766628, 0.22194433, 0.5152558, 0.41831213, 0.6653732, 0.6876397, 0.48039418, 0.31165946, 0.68106747, 0.4827533, 0.6933106, 0.47897547, 0.53720236, 0.32094806, 0.40878344, 0.35752663, 0.3999198, 1.225599]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in the 1940s we saved the world .'
GOLD SEQ: 	 b'in the 1940s we saved the world .'
PRED SEQ:	 b'in the 1940s , in the 1940s , and time ,'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.075797796, -0.05110959, 0.0035776105, 0.012886865, 0.033748955, -0.10350773, -0.0030405745, 0.10148267]
GOLD TOK: 	 []
PRED TOK: 	 [[',', 'in'], ['1940s', ',', 'and', 'time', ',']]
################################################################################
IN SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
PRED SEQ:	 b'under the trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3751856, 0.4098923, 0.031332083, 0.14054649, 0.131603, 0.10024117, 0.24001887, 0.1788692, 0.11588075, 0.2724521, 0.38618657, 0.16924529, 0.35933557, 0.53973925, 0.33814856, 0.12651505, 0.23705932, 0.26575643, 0.34334946, 0.47033116, 0.40445498, 0.2951008, 0.5253574]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
GOLD SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
PRED SEQ:	 b'but one thing i can promise you is this : i will always tell you the truth .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.7761108, 0.71844876, 0.79866385, 0.6785426, 0.56436676, 0.5887053, 0.70463204, 0.31888843, 0.47834978, 0.6315177, 0.782466, 0.80894756, 0.7554207, 0.5812681, 0.7189327, 0.5208266, 0.7206012, 0.7957014]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
GOLD SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
PRED SEQ:	 b'obama ##care is a disaster , people are dying with it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15852079, 0.18735693, 0.08289754, 0.24045654, 0.103639886, 0.06384801, 0.23510985, 0.18571097, 0.12791733, 0.14966945, 0.0104555115, 0.2909733]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
PRED SEQ:	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.47760928, 0.29752767, 0.35433793, 0.42410573, 0.4112614, 0.6275666, 0.42265815, 0.563064, 0.38072506, 0.32095343, 0.39258182, 0.48406395, 0.23842254, 0.37443775, 0.3922434, 0.34773016, 0.34543252, 0.44749206, 0.35131073, 0.3786435, 0.4862836]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
GOLD SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
PRED SEQ:	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.64456904, 0.6138034, 0.5479641, 0.6153866, 0.41856986, 0.56528866, 0.3035575, 0.0022278503, 0.09284874, 0.37779126, 0.13712041, 0.024519198, 0.27023017, 0.38757658, 0.40282965, 0.4908054, 0.39473444, 0.38129118, 0.46210182, 0.9017142]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he ought to be out in the white house .'
GOLD SEQ: 	 b'he ought to be out in the white house .'
PRED SEQ:	 b'he claims to be out in the white house .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.71317995, 0.6830306, 0.79571974, 0.6748911, 0.28267962, 0.33480957, 0.06729625, 0.19617245, 0.35989326, 0.73392695]
GOLD TOK: 	 []
PRED TOK: 	 [['claims']]
################################################################################
IN SEQ: 	 b'he has been a disaster as a president .'
GOLD SEQ: 	 b'he has been a disaster as a president .'
PRED SEQ:	 b'he has been a major disaster as a president .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.44971567, 0.4319434, 0.55772805, 0.6545422, 0.55610585, 0.4037506, 0.3717329, 0.46253765, 0.5659123]
GOLD TOK: 	 []
PRED TOK: 	 [['major']]
################################################################################
IN SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
GOLD SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
PRED SEQ:	 b'we only want to admit people to our country who will support our values and love our people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.53136337, 0.30879772, 0.10406911, 0.11765106, 0.10032573, 0.5187352, 0.45791918, 0.121796325, 0.22938603, 0.47591978, 0.36138365, 0.24236158, 0.035224184, 0.20060469, 0.31783462, 0.2421166, 0.11632097, 0.45185155, 0.76013947]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from our neighborhoods .'
GOLD SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from our neighborhoods .'
PRED SEQ:	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from their neighborhoods .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.7265483, 0.22621739, -0.15542012, 0.4298811, 0.12638858, 0.38646585, 0.15947828, 0.25666338, -0.12590326, 0.16188246, -0.22063127, -0.038225293, 0.36278576, 0.37750915, 0.27610648, 0.2702989, 0.566976, 0.22001192, 0.38667116, 0.3198204, 0.06091273, 0.38363335, -0.1804322, 0.27221394, -0.04498957, 0.20346034, 0.5323051, 0.4918882, 0.32501242, 0.1779728, 1.0558274]
GOLD TOK: 	 []
PRED TOK: 	 [['their']]
################################################################################
IN SEQ: 	 b"it is ok . as the baby that had a voice that was superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD SEQ: 	 b"it is ok . as the baby that had a voice that was superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
PRED SEQ:	 b"it is ok . as the baby that had a voice that was not superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.35849032, 0.537876, 0.46704558, 0.40139502, 0.3568957, -0.07336159, 0.02065345, 0.39566815, -0.12970427, 0.06619781, 0.014229678, 0.39107263, 0.0022114366, -0.06611917, -0.089596584, -0.07628462, -0.033323094, 0.17028236, -0.04640989, 0.13404545, 0.08417277, 0.14671046, 0.35512388, 0.2408967, 0.16830927, 0.15626955, 0.45450443, -0.13077644, 0.11229266, 0.027390532, 0.32338172, 0.15253249, 0.3085791, -0.141707, 0.4581777, 0.20124036, -0.059108287, 0.31253377, 0.175048, 0.44106346, 0.46196228]
GOLD TOK: 	 []
PRED TOK: 	 [['not']]
################################################################################
IN SEQ: 	 b'i want to create safe zones in the middle east .'
GOLD SEQ: 	 b'i want to create safe zones in the middle east .'
PRED SEQ:	 b'i want to create safe zones in the middle east .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.27051857, 0.22945657, 0.089548476, 0.16726482, 0.09481782, 0.35435614, 0.21919973, 0.04099384, 0.092604265, 0.19935265, 0.40704662]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
PRED SEQ:	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04167799, 0.2142281, 0.2614714, 0.1866569, 0.19894311, -0.10125637, 0.27720436, 0.022449218, 0.13688152, 0.3095913, 0.21088266, 0.2917251, -0.22632697, -0.22204417, 0.037866667, -0.13557665, -0.023776568, -0.25511387, -0.008858107, -0.09770984, -0.12716982, -0.18876868, -0.0011431202, -0.039184794, -0.14918253, -0.24301715, -0.21640193, -0.018459138, 0.2728359]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"and it ' s not even one day ."
GOLD SEQ: 	 b"and it ' s not even one day ."
PRED SEQ:	 b"and it ' s not one day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.41758582, 0.61356026, 0.5343218, 0.6449871, 0.6410754, 0.6835146, 0.6713563, 0.6718699, 0.49305943]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she could have changed those laws when she was in the senate .'
GOLD SEQ: 	 b'she could have changed those laws when she was in the senate .'
PRED SEQ:	 b'she might have changed those laws when she was in the senate .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.59741676, 0.34703675, 0.56102395, 0.37268335, 0.11882912, 0.25497562, 0.122510314, 0.12086378, -0.09815475, -0.024676114, -0.31784788, 0.065264225, 0.71065015]
GOLD TOK: 	 []
PRED TOK: 	 [['might']]
################################################################################
IN SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
PRED SEQ:	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.58311194, 0.27027056, 0.5152068, 0.28714085, 0.35972112, 0.28854185, 0.16507006, 0.39202785, 0.36013502, 0.4291443, 0.47273606, 0.5528368, 0.39126796, 0.21866262, 0.48914957, 0.31636623, 0.30894786, 0.33454835, 0.33802992, 0.32648325, 0.43298745, 0.4201865, 0.41427112, 0.3847901, 0.43925187, 0.56063116, 0.19181046, 0.40851635, 0.34442613, -0.23398072, 0.4750509, 0.33095485, 0.1296532, 0.2284739, 0.2431331, -0.20788613, 0.37492123, 0.16273361, 0.32711095, 0.47677255, 0.58404464]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we have to solve this crisis .'
GOLD SEQ: 	 b'we have to solve this crisis .'
PRED SEQ:	 b'we have to solve this crisis .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.17320994, 0.4082371, 0.4152007, 0.38827923, 0.3569405, 0.32845873, 0.34555084]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is maybe in a sense even more important .'
GOLD SEQ: 	 b'this is maybe in a sense even more important .'
PRED SEQ:	 b'this is maybe in a sense even more important .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.45092452, 0.46542612, 0.57451355, 0.3819583, 0.5403491, 0.41750443, 0.6076484, 0.5657759, 0.47883326, 0.459467]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ applause ] but that ' s a really big deal ."
GOLD SEQ: 	 b"[ applause ] but that ' s a really big deal ."
PRED SEQ:	 b"[ applause ] but that ' s a really big deal ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.01476958, -0.20443662, 0.07100019, 0.20880857, 0.14381982, -0.3313052, 0.033500187, 0.09563613, 0.11975968, -0.052712366, 0.13997653, 0.14427045]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she wants to go home and go to sleep .'
GOLD SEQ: 	 b'she wants to go home and go to sleep .'
PRED SEQ:	 b'the book claims to go home and go to sleep .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.9001472, 0.6250149, 0.6984599, 0.56772304, 0.71555483, 0.552879, 0.40362766, 0.5310465, 0.6479307, 0.9483057]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'book', 'claims']]
################################################################################
IN SEQ: 	 b"if something isn ' t working , you replace it ."
GOLD SEQ: 	 b"if something isn ' t working , you replace it ."
PRED SEQ:	 b"if something isn ' t working , the people replace it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.26465377, 0.335997, 0.13726273, -0.28983492, 0.2621059, 0.17147271, 0.11079118, 0.33990848, 0.1429947, 0.22912624, 0.4967461]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'people']]
################################################################################
IN SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
PRED SEQ:	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.46092835, -0.0005661845, 0.044388495, 0.0062090307, 0.1937848, 0.14641495, 0.22157548, 0.1939506, 0.30825156, 0.30770582, 0.30089802, 0.34064928, 0.37881267, 0.472765, 0.37848124, 0.3777734, 0.52884567, 0.35283688, 0.5382558, 0.6350795, 0.7370981]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'just a coincidence .'
GOLD SEQ: 	 b'just a coincidence .'
PRED SEQ:	 b'is a coincidence .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.45130357, 0.49621278, 0.4002856, 0.5839925]
GOLD TOK: 	 []
PRED TOK: 	 [['is']]
################################################################################
IN SEQ: 	 b"but even more importantly , he ' s a brilliant physician and i hope he will be very much involved with my administration in the coming years ."
GOLD SEQ: 	 b"but even more importantly , he ' s a brilliant physician and i hope he will be very much involved with my administration in the coming years ."
PRED SEQ:	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.6499717, 0.56952494, 0.42018235, 0.47315422, 0.3984546, 0.06878483, 0.3467888, 0.48372126, 0.467421, 0.31032762, 0.50670207, 0.4389987, 0.39342326, 0.3434428, 0.07890098, 0.29526013, 0.21697624, 0.1967636, 0.20941447, 0.2998817, 0.25177497, 0.2767614, 0.25331974, 0.37493414, 0.21405189, 0.33034, 0.37340137, 0.713229]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he promised his plan would reduce premium ##s by $ 2 , 500 dollars .'
