################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.018464528, 0.019329093, 0.010692895, 0.00023702906, 0.000183807, 0.018928828, 0.012251022, 0.00011968506, 1.9056468e-05, 0.0006349657, 0.0024354788, 0.5700042, 0.40054014, 0.017629363, 0.3526491, 0.00050851266]
GOLD TOK: 	 [['absolutely']]
PRED TOK: 	 [['killed']]
################################################################################
IN SEQ: 	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD SEQ: 	 b'this is the hate ##ful attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
PRED SEQ:	 b'this is the attitude of insider like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.009537145, 0.02760491, 0.0017426718, 0.011981504, 0.0004437505, 0.7717604, 0.4070245, 0.0051268996, 0.07402277, 0.05836252, 0.000109470166, 0.00079752976, 0.0003961892, 0.00036648437, 2.6519712e-05, 0.00066940056, 0.0017875708, 0.007613878, 0.0018915245, 0.0004683196, 0.0011996279, 6.344192e-05]
GOLD TOK: 	 [['hate', '##ful']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he said that .'
GOLD SEQ: 	 b'he just said that .'
PRED SEQ:	 b'he said that .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.43026444, 0.41699627, 0.48881242, 0.051586397]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the miners are out of work , they ' re out of work ."
GOLD SEQ: 	 b"the miners are out of work , they ' re totally out of work ."
PRED SEQ:	 b"the miners are out of work , they ' re out of work ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10698032, 0.37476653, 0.25270453, 0.0011641508, 1.9495406e-05, 0.00016318345, 0.00017244292, 0.20024487, 0.065783694, 0.01847567, 0.000819743, 3.0789102e-05, 0.00023300096, 0.00017931635]
GOLD TOK: 	 [['totally']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts completely tax - free .'
PRED SEQ:	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1480064, 0.07000136, 0.00039507888, 1.2235448e-05, 4.464783e-06, 1.7437998e-05, 2.2540005e-05, 3.7686475e-06, 1.873659e-05, 6.14009e-05, 4.2119853e-05, 5.9802715e-05, 4.6981713e-06, 0.029840738, 0.0042285407, 0.12929568, 0.16427685, 0.45737937, 7.01483e-05]
GOLD TOK: 	 [['completely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a understanding of many , many differences .'
GOLD SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
PRED SEQ:	 b'we will pursue these relationships with eyes wide open , and a understanding of many , many differences .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10117063, 0.5906448, 0.00883426, 0.0065794345, 0.0018067746, 4.70623e-05, 0.5148137, 1.060386e-05, 0.00022067512, 1.2084625e-05, 5.428226e-06, 0.0007588566, 0.00038799693, 0.0047720303, 4.734084e-05, 0.00020098635, 6.4043807e-06, 0.0007766559, 0.0010399215, 4.1086707e-05]
GOLD TOK: 	 [['clear'], ['our']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
PRED SEQ:	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.027546618, 0.00063323043, 7.1621985e-06, 0.05995816, 0.00015973956, 5.40579e-06, 0.004674103, 3.1650725e-05, 1.8039445e-05, 2.7784356e-05, 2.4010092e-06, 1.5691314e-05, 1.9359304e-06, 9.3587505e-06, 2.988467e-06, 0.0043786145, 0.00033738354, 0.00044295975, 0.00016127399, 0.032665014, 0.006935255, 0.013451464, 0.0012284917, 0.49187854, 0.2393693, 0.0006779639, 5.6252065e-06, 1.8961151e-05, 4.116633e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in the 1940s , in the 1940s , the united states'
GOLD SEQ: 	 b'in the 1940s we saved the world .'
PRED SEQ:	 b'in the 1940s , in the 1940s , the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.36359227, 0.032983612, 0.056749366, 0.00023831005, 0.014861707, 0.0024186887, 0.060006972, 0.00029004578, 0.013106404, 0.021304414, 0.02047451]
GOLD TOK: 	 [['we', 'saved'], ['world', '.']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
PRED SEQ:	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.064965114, 0.13589749, 0.06315422, 0.25501993, 0.008924798, 0.0860173, 0.00052366464, 0.0012828661, 0.00018340802, 0.0002767095, 0.0006400591, 0.048567824, 0.02549239, 0.0070981216, 0.00015938841, 0.030350365, 0.00037978313, 0.002050436, 0.0004530138, 0.06825459, 0.029808093, 0.077402346, 0.00024336856]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'one thing i can promise you is this : i will always tell you the truth .'
GOLD SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
PRED SEQ:	 b'one thing i can promise you is this : i will always tell you the truth .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.19839396, 0.13586634, 0.026282394, 0.07104089, 0.006053748, 0.028396985, 0.010363925, 0.03080329, 0.0017045268, 0.006412635, 0.004608448, 0.027832557, 0.00067113386, 0.0072876215, 0.0009087338, 0.13163513, 0.00036956655]
GOLD TOK: 	 [['but']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
GOLD SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
PRED SEQ:	 b'obama ##care is a disaster , people are dying with it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22168693, 0.66758615, 0.16314964, 0.008445124, 0.21555069, 3.3889784e-05, 0.014836115, 0.0016138663, 0.028876627, 0.0011646621, 0.0048788404, 9.712133e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
PRED SEQ:	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.019366898, 0.0045802975, 7.052882e-05, 0.48362184, 0.077131934, 0.00026556003, 0.00075227354, 0.0012831184, 0.0042919153, 0.00067974307, 0.0004144929, 0.0006436923, 0.019997485, 3.6553265e-05, 0.00036653067, 4.1913696e-05, 0.0011522697, 0.0007853411, 0.0023009835, 0.091967404, 0.00014295899]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and i have to tell you , the colleges are viewing the students as a to it .'
GOLD SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
PRED SEQ:	 b'and i have to tell you , the colleges are viewing the students as a to it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03246969, 0.016238658, 0.043431006, 0.022518173, 0.018228848, 0.10840948, 0.00019278715, 0.017450314, 0.074726865, 0.015053265, 0.09936147, 0.009055137, 0.0076312236, 0.004088316, 0.061713263, 0.007932956, 0.12153577, 0.0001628682]
GOLD TOK: 	 [['just'], ['con']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he hopes to be out in the white house .'
GOLD SEQ: 	 b'he ought to be out in the white house .'
PRED SEQ:	 b'he hopes to be out in the white house .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.36752212, 0.6255753, 0.0002724615, 0.0018599567, 0.28871956, 6.093397e-05, 3.6159207e-05, 0.002258409, 0.00011067005, 6.5225104e-05]
GOLD TOK: 	 [['ought']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he has been a as a president .'
GOLD SEQ: 	 b'he has been a disaster as a president .'
PRED SEQ:	 b'he has been a as a president .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.05910789, 0.01989811, 0.033015892, 0.7512189, 0.112299085, 0.01702909, 0.15541947, 0.0007891592]
GOLD TOK: 	 [['disaster']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we want to admit people to our country who will support our values and love our people .'
GOLD SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
PRED SEQ:	 b'we want to admit people to our country who will support our values and love our people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10100392, 0.012957512, 1.6436175e-05, 0.0040308465, 0.0020403962, 1.13240785e-05, 0.36692947, 0.008067256, 0.006329198, 0.16768159, 0.0013859008, 0.08591741, 0.00012559655, 0.00020672324, 0.0184319, 0.13137168, 0.0009293123, 2.7589522e-05]
GOLD TOK: 	 [['only']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from neighborhoods .'
GOLD SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from our neighborhoods .'
PRED SEQ:	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from neighborhoods .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08091124, 0.6029648, 0.035963725, 1.0868933e-05, 9.90791e-06, 3.1267143e-06, 1.7161088e-05, 6.1117985e-06, 7.2618714e-06, 5.2366895e-06, 5.3938715e-05, 4.284574e-06, 3.5776459e-06, 1.0402157e-05, 0.00026539245, 0.025966521, 0.020122126, 0.009597638, 0.0047906972, 6.2896866e-06, 0.0015845404, 0.003017515, 5.5238283e-06, 4.072237e-05, 0.0640001, 0.035100006, 0.021414228, 6.6982226e-05, 0.003875652, 1.9103907e-05]
GOLD TOK: 	 [['our']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it is ok . as the baby that had a voice that was designed to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD SEQ: 	 b"it is ok . as the baby that had a voice that was superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
PRED SEQ:	 b"it is ok . as the baby that had a voice that was designed to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.05214775, 0.19893104, 0.23272443, 0.00027005578, 0.009572194, 0.00041658658, 0.10462487, 0.007967018, 0.00640627, 0.0026665889, 0.011288338, 0.0016010337, 0.035248473, 0.11676718, 0.00044327552, 0.00019354247, 0.00010694965, 0.0002333716, 0.05688195, 0.00023020363, 0.06659639, 0.036513925, 0.01402009, 0.0042451713, 0.0052699083, 1.1549747e-05, 0.00064521004, 0.00013617158, 0.00042802884, 2.0044046e-05, 0.0004425651, 5.613288e-06, 1.31957895e-05, 7.802186e-06, 9.998758e-06, 3.9228766e-05, 5.093336e-06, 0.0005137346, 0.00012510849, 0.0003423355, 1.8955385e-05]
GOLD TOK: 	 [['superior']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i want to create safe zones in the middle east .'
GOLD SEQ: 	 b'i want to create safe zones in the middle east .'
PRED SEQ:	 b'i want to create safe zones in the middle east .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20182662, 0.3049211, 0.00036617825, 0.0048823515, 0.32954174, 0.0016802904, 0.00031072454, 0.0003287024, 0.025477257, 0.0012493059, 0.00045410547]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ claiming that boo ' re we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
PRED SEQ:	 b"[ saying that boo ' re we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.30411, 0.9363332, 2.9579069e-06, 4.1626463e-05, 7.339173e-06, 1.1572625e-05, 1.368523e-05, 3.6336041e-06, 6.11019e-06, 1.889723e-05, 3.3146187e-06, 2.730422e-05, 2.625033e-05, 4.5467063e-05, 0.003269349, 2.5012703e-06, 8.4296305e-05, 8.745711e-05, 2.4904048e-05, 5.946439e-06, 2.6348467e-05, 1.1591484e-06, 7.5395783e-06, 1.0736571e-05, 3.6222293e-05, 1.7826059e-06, 5.5296787e-06, 2.594191e-05, 3.645259e-05, 4.4945555e-06, 2.5968768e-06]
GOLD TOK: 	 [['##ing', ']']]
PRED TOK: 	 [['saying']]
################################################################################
IN SEQ: 	 b"and it ' s not only one day ."
GOLD SEQ: 	 b"and it ' s not even one day ."
PRED SEQ:	 b"and it ' s not one day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.056972902, 0.0003355263, 0.0029088364, 0.004375657, 0.0045783822, 0.8838282, 0.00064412435, 0.00012001236, 5.7806785e-05]
GOLD TOK: 	 [['even']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she may have changed those laws when she was in the senate .'
GOLD SEQ: 	 b'she could have changed those laws when she was in the senate .'
PRED SEQ:	 b'she may have changed those laws when she was in the senate .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.30490464, 0.27776077, 0.032913234, 0.0459891, 0.063011214, 0.021263262, 0.00033321683, 0.07991489, 0.003986132, 0.00024648255, 5.880442e-05, 0.0031801048, 0.001236611]
GOLD TOK: 	 [['could']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
PRED SEQ:	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [8.992008e-06, 2.12852e-06, 2.3692103e-06, 0.11515649, 0.00018125816, 6.7736487e-06, 5.1677102e-06, 2.5355077e-05, 4.304585e-06, 0.000108408814, 0.57374644, 0.0012551192, 2.4207823e-06, 3.7393272e-06, 1.9266517e-05, 1.9780855e-06, 2.0634814e-06, 1.8390884e-06, 2.3674759e-06, 0.16814312, 1.1055705e-05, 2.7584879e-06, 0.0006897772, 1.7769232e-06, 5.345389e-06, 2.5525269e-05, 0.0028802275, 0.0031842072, 0.0155048845, 1.4154286e-06, 0.0007128956, 1.3507014e-05, 1.7839018e-06, 3.2248194e-05, 2.2316837e-05, 1.7851713e-06, 6.713697e-06, 2.1296375e-05, 1.9240742e-05, 6.5526285e-05, 1.3313955e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we have to solve this this .'
GOLD SEQ: 	 b'we have to solve this crisis .'
PRED SEQ:	 b'we have to solve this .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.27861705, 0.09296997, 0.00077054277, 0.011304365, 0.05418093, 0.5383253, 0.018227512]
GOLD TOK: 	 [['crisis']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is in a sense more important .'
GOLD SEQ: 	 b'this is maybe in a sense even more important .'
PRED SEQ:	 b'this is in a sense of considerable .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.073506616, 0.13281953, 0.008941888, 0.005120113, 0.02611062, 0.4884847, 0.25809234, 0.0028300874]
GOLD TOK: 	 [['maybe'], ['even']]
PRED TOK: 	 [['of', 'considerable']]
################################################################################
IN SEQ: 	 b"[ film s but that that ' s a really big deal ."
GOLD SEQ: 	 b"[ applause ] but that ' s a really big deal ."
PRED SEQ:	 b"[ film s but that that ' s a big deal ."
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03517838, 0.008433062, 0.057571054, 0.43973047, 0.014004193, 0.011084908, 0.012625901, 0.042729296, 0.002608591, 0.40730363, 0.0128237605, 0.00255892, 0.0003381088]
GOLD TOK: 	 [['applause', ']']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she is designed to go home and go to sleep .'
GOLD SEQ: 	 b'she wants to go home and go to sleep .'
PRED SEQ:	 b'she is designed to go home and go to sleep .'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.098387, 0.44962537, 0.57024777, 0.0006890545, 0.00016554586, 0.00031506122, 7.440118e-05, 0.00013190495, 2.2596307e-05, 0.00031411674, 0.00023884074]
GOLD TOK: 	 [['wants']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"if something isn ' t working , it replace it ."
GOLD SEQ: 	 b"if something isn ' t working , you replace it ."
PRED SEQ:	 b"if something isn ' t working , it replace it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21183929, 0.031047031, 0.01592406, 0.0004483707, 0.00077204517, 0.009611258, 7.896986e-05, 0.53017247, 0.42429307, 0.08094873, 0.0005413525]
GOLD TOK: 	 [['you']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
PRED SEQ:	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.001420704, 0.003883827, 0.01656759, 0.0025907343, 0.42507187, 0.00020658452, 1.09219445e-05, 2.1699655e-06, 7.5587504e-06, 4.4835015e-06, 0.00037701486, 0.07000991, 0.011548903, 0.0003014837, 0.2008063, 0.009140396, 0.00021049676, 0.010690539, 0.034863807, 0.0060022585, 3.3620443e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a coincidence .'
GOLD SEQ: 	 b'just a coincidence .'
PRED SEQ:	 b'a catch phrase .'
GOLD DIST: 	 [0.0, 0.0, 0.0]
PRED DIST: 	 [0.27624607, 0.5328114, 0.003966499]
GOLD TOK: 	 [['just']]
PRED TOK: 	 [['catch', 'phrase']]
################################################################################
IN SEQ: 	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD SEQ: 	 b"but even more importantly , he ' s a brilliant physician and i hope he will be very much involved with my administration in the coming years ."
PRED SEQ:	 b"even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
