################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the political war of isis , and we are going to defeat them fast .'
GOLD SEQ: 	 b'he just said that .'
PRED SEQ:	 b'he just said that .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.17095336, 0.2728438, 0.47002083, 0.4179921, 0.21305996]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the miners are out of work , they ' re be out of work ."
GOLD SEQ: 	 b"the miners are out of work , they ' re totally out of work ."
PRED SEQ:	 b"the miners are out of work , they ' re - be out of work ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.01759044, -0.06306042, 0.3540631, 0.42124546, 0.50979185, 0.13490663, 0.017479353, 0.44478065, 0.4767058, 0.3742954, 0.16830802, 0.47744864, 0.59650683, 0.35906473, 0.13941178]
GOLD TOK: 	 [['totally']]
PRED TOK: 	 [['-']]
################################################################################
IN SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts completely tax - free .'
PRED SEQ:	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.25512305, 0.18614256, 0.2587993, 0.4579378, 0.42188418, 0.06903984, 0.23221067, 0.052138504, 0.25047588, 0.18617949, 0.59034586, 0.20000866, 0.6308291, 0.39198345, 0.23735228, 0.31075224, 0.44626915, 0.19650668, -0.1220558]
GOLD TOK: 	 [['completely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
GOLD SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
PRED SEQ:	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.1516855, -0.07008535, 0.0938732, 0.51722777, 0.28809845, 0.27094156, -0.08276427, 0.078386545, -0.07432577, -0.15581919, -0.109467104, 0.16570692, 0.4367333, 0.28550518, 0.43478885, 0.5935845, 0.31721357, 0.6068708, 0.39623117, 0.4209657, 0.5616259, 0.0977121]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
PRED SEQ:	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.013304397, 0.30770302, 0.29129434, 0.38906616, 0.28614503, 0.43198946, 0.3860522, 0.4697894, 0.46670273, 0.4709959, 0.5447689, 0.40866733, 0.56450236, 0.48228082, 0.58993864, 0.23186648, 0.5064148, 0.55555916, 0.77705085, 0.49376073, 0.5866061, 0.481839, 0.3689168, 0.28108287, 0.6413466, 0.64759326, 0.6168726, 0.34627706, 0.5830271]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in the 1940s , in the 1940s , and time ,'
GOLD SEQ: 	 b'in the 1940s we saved the world .'
PRED SEQ:	 b'in the 1940s , in the 1940s , and time ,'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.2627914, 0.52818644, 0.30583185, 0.24972272, 0.3882064, 0.51155597, 0.28449988, 0.3841132, 0.37911046, 0.33253264, 0.488596]
GOLD TOK: 	 [['we', 'saved'], ['world', '.']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'under the trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
PRED SEQ:	 b'under the trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12639078, 0.4968922, 0.3096268, 0.2569667, 0.04401181, 0.1291445, 0.22014704, 0.0912489, 0.026582755, 0.12998255, 0.043016333, 0.0501061, 0.20029685, 0.1825273, 0.13400663, -0.019320201, 0.12886176, -0.005124837, -0.1138324, -0.04911779, 0.03064064, 0.06207159, 0.38406098]
GOLD TOK: 	 [['a']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
GOLD SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
PRED SEQ:	 b'but one thing i can promise you is this : i will always tell you the truth .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.13440025, 0.035553075, -0.12454018, 0.095525764, 0.015699266, 0.09735158, 0.2722362, 0.2733165, 0.13429955, -0.044824954, 0.07953073, 0.08629828, 0.108557604, 0.30909324, 0.14485258, 0.21937272, 0.31816417, 0.080681875]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
GOLD SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
PRED SEQ:	 b'obama ##care is a disaster , people are dying with it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13564, 0.2470174, 0.23786668, 0.54254204, 0.3240403, 0.17823757, 0.3352461, 0.5327714, 0.38688248, 0.7344275, 0.644398, 0.32840967]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
PRED SEQ:	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08421183, 0.33408153, 0.07386924, 0.16317081, 0.118206665, 0.25652558, 0.3236847, 0.3265317, 0.1435284, 0.3128193, 0.3952357, 0.32918042, 0.20259039, 0.58322924, 0.03158945, 0.34701115, 0.23763701, 0.3330267, 0.44839615, 0.101441264, 0.16768032]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
GOLD SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
PRED SEQ:	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.20005521, 0.09938508, 0.22427055, -0.026809223, 0.0070914924, 0.08174077, 0.046079457, 0.52591336, 0.3135909, 0.43681303, 0.3523468, 0.64321685, 0.2902447, 0.6628587, 0.52540386, 0.62235904, 0.302754, 0.36626956, 0.50840914, 0.066125646]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he claims to be out in the white house .'
GOLD SEQ: 	 b'he ought to be out in the white house .'
PRED SEQ:	 b'he claims to be out in the white house .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.008286625, 0.10336986, 0.64395386, 0.6830673, 0.39209223, 0.7098718, 0.8860002, 0.874982, 0.5733199, 0.250374]
GOLD TOK: 	 [['ought']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he has been a major disaster as a president .'
GOLD SEQ: 	 b'he has been a disaster as a president .'
PRED SEQ:	 b'he has been a major change as a president .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.027313977, 0.4474643, 0.42653933, 0.6601516, 0.3976823, 0.28983933, 0.56510675, 0.6473723, 0.64969075, 0.24763428]
GOLD TOK: 	 []
PRED TOK: 	 [['change']]
################################################################################
IN SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
GOLD SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
PRED SEQ:	 b'we only want to admit people to our country who will support our values and love our people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.19967636, 0.025667235, 0.13064076, 0.18461066, 0.15666218, 0.26726183, 0.17149654, 0.07025726, 0.20176846, 0.26033783, 0.07621984, 0.10079023, -0.06931238, 0.073359005, 0.12576109, 0.1199882, 0.001666829, 0.13726218, 0.0503961]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from their neighborhoods .'
GOLD SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from our neighborhoods .'
PRED SEQ:	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from their neighborhoods .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [-0.5028635, -0.31663442, 0.09150928, 0.18696946, 0.28551966, -0.15116078, 0.26370093, 0.2504205, 0.2612921, 0.06328943, 0.1039508, 0.2350101, 0.16063519, 0.18432426, -0.021241505, 0.22278017, 0.50883436, 0.45269966, 0.5832058, 0.32936168, 0.5443628, 0.682753, -0.104893625, 0.48392722, 0.58849156, 0.68802905, 0.73574317, 0.50082266, 0.16340685, 0.46691546, 0.13306192]
GOLD TOK: 	 [['our']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it is ok . as the baby that had a voice that was not superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD SEQ: 	 b"it is ok . as the baby that had a voice that was superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
PRED SEQ:	 b"it is ok . as the baby that had a voice that was not superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14012823, 0.124292545, 0.14660491, 0.2511758, 0.3162132, 0.5688363, 0.3874429, 0.49363297, 0.29597414, 0.6187687, 0.5747675, 0.512159, 0.5810642, 0.4680479, 0.5985052, 0.44673717, 0.5468335, 0.70848495, 0.74901426, -0.16398394, 0.18656397, 0.20674717, 0.4950384, 0.5859797, 0.5445889, 0.62358654, 0.29886377, 0.52932143, 0.7925926, 0.74308, 0.78911054, 0.6198298, 0.17002913, 0.48527625, 0.13513349, 0.7283618, 0.676742, 0.59638435, 0.7379395, 0.7062559, 0.6199503, 0.4273097]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i want to create safe zones in the middle east .'
GOLD SEQ: 	 b'i want to create safe zones in the middle east .'
PRED SEQ:	 b'i want to create safe zones in the middle east .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.008265555, 0.12856802, 0.30959105, 0.21604095, 0.19770604, 0.18024056, 0.18224186, 0.22225122, 0.11462142, 0.060560774, 0.17553823]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
PRED SEQ:	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.10781515, 0.34207904, 0.25263962, -0.29760078, -0.12828335, 0.12251596, 0.0026032515, -0.02567479, 0.010621369, -0.11688683, -0.225463, 0.113239296, 0.18641561, 0.37388146, 0.2395839, 0.1983974, 0.2610267, 0.5624515, 0.22455765, -0.017710287, 0.45051777, 0.7313241, 0.2681641, 0.34210843, 0.37149325, 0.682657, 0.5100745, 0.35132214, 0.1593441]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"and it ' s not one day ."
GOLD SEQ: 	 b"and it ' s not even one day ."
PRED SEQ:	 b"and it ' s not one day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09501612, 0.28190282, 0.5636357, 0.44195807, 0.18075143, 0.1797094, 0.36142373, 0.18988658]
GOLD TOK: 	 [['even']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she might have changed those laws when she was in the senate .'
GOLD SEQ: 	 b'she could have changed those laws when she was in the senate .'
PRED SEQ:	 b'she might have changed those laws when she was in the senate .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07422501, 0.25195217, 0.55859524, 0.36762595, 0.5762726, 0.5065345, 0.54304874, 0.476373, 0.4791268, 0.6817492, 0.8269043, 0.6262902, 0.33293253]
GOLD TOK: 	 [['could']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
PRED SEQ:	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.14291981, 0.16928737, 0.1341171, 0.18903819, 0.3816921, 0.51266205, 0.32680097, 0.40843335, 0.55311286, 0.19260566, 0.27510518, 0.30037755, 0.56517863, 0.63262546, 0.3459839, 0.38304555, 0.2042108, 0.36836535, 0.24936056, 0.2385938, 0.3973199, 0.8461187, 0.6610867, 0.62094265, 0.30909696, 0.30611676, 0.43401587, 0.30514002, 0.56033385, 0.042223513, 0.75733274, 0.6824792, 0.46791822, 0.74553025, 0.7161881, 0.10086454, 0.72882557, 0.77287096, 1.0492401, 0.945006, 0.115228415]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we have to solve this crisis .'
GOLD SEQ: 	 b'we have to solve this crisis .'
PRED SEQ:	 b'we have to solve this crisis .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.22691754, -0.0637141, -0.094658494, 0.117757544, 0.15657082, 0.0524185, -0.009709008]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is maybe in a sense even more important .'
GOLD SEQ: 	 b'this is maybe in a sense even more important .'
PRED SEQ:	 b'this is maybe in a sense even more important .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.07679513, 0.16923922, 0.22348608, 0.5465189, 0.6206616, 0.448577, -0.00993254, 0.2187761, 0.15480009, 0.13945079]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ applause ] but that ' s a really big deal ."
GOLD SEQ: 	 b"[ applause ] but that ' s a really big deal ."
PRED SEQ:	 b"[ applause ] but that ' s a really big deal ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.08224329, 0.22374853, -0.14167064, 0.22493176, 0.3075972, 0.19863707, 0.13958123, 0.4712621, 0.3981305, 0.46619603, 0.28820378, 0.374077]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the book claims to go home and go to sleep .'
GOLD SEQ: 	 b'she wants to go home and go to sleep .'
PRED SEQ:	 b'the book states to go home and go to sleep .'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.25263876, -0.23479274, -0.15782788, 0.10250247, 0.2874062, 0.18270293, 0.13638662, 0.3513628, 0.4126671, 0.07961692, -0.103414714]
GOLD TOK: 	 [['she', 'wants']]
PRED TOK: 	 [['states']]
################################################################################
IN SEQ: 	 b"if something isn ' t working , the people replace it ."
GOLD SEQ: 	 b"if something isn ' t working , you replace it ."
PRED SEQ:	 b"if something isn ' t working , the people replace it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.09894447, 0.12737423, 0.100227304, 0.14872757, 0.082822114, 0.07407433, 0.29701328, 0.65746486, 0.45364892, 0.36717433, 0.5290404, 0.17173348]
GOLD TOK: 	 [['you']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
PRED SEQ:	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13608706, 0.39935312, 0.35157385, 0.3796863, 0.10461759, 0.30133554, 0.22552666, -0.035462797, 0.22659771, 0.12867916, 0.15824601, 0.19749612, 0.037720814, 0.2006696, -0.16549572, -0.036379635, 0.28580076, 0.08365538, 0.20509386, 0.13630907, 0.3235287]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is a coincidence .'
GOLD SEQ: 	 b'just a coincidence .'
PRED SEQ:	 b'is a coincidence .'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.15457256, 0.1133579, 0.08070373, 0.035816886]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD SEQ: 	 b"but even more importantly , he ' s a brilliant physician and i hope he will be very much involved with my administration in the coming years ."
PRED SEQ:	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.022258222, 0.21968098, 0.38823602, 0.24115467, 0.22017361, 0.45867333, 0.2697001, 0.18957993, 0.20144558, 0.49358076, 0.29728153, 0.2525513, 0.32111517, 0.7773382, 0.36803153, 0.58244056, 0.8017026, 0.6421629, 0.5471754, 0.5503576, 0.29477543, 0.33728787, 0.46630758, 0.44815537, 0.34833193, 0.4706358, 0.34591755]
GOLD TOK: 	 [['brilliant']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he said his plan would reduce premium ##s by $ 2 , 500 dollars .'
