################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
PRED DIST: 	 [0.19561508, 0.089504756, 0.06750438, 0.41222513, 0.25441438, -0.104170166, -0.009329587, 0.18659854, 0.2249302, 0.24436565, 0.30203366, 0.16236275, 0.3419702, 0.11365799, 0.43390906, -0.026938379]
GOLD TOK: 	 [['absolutely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD SEQ: 	 b'this is the hate ##ful attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
PRED SEQ:	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.16956082, -0.12633568, 0.20596722, 0.20671493, 0.28321388, 0.045451656, 0.15637416, -0.14238088, -0.16104811, -0.45949394, -0.403466, -0.43164167, 0.1909681, -0.23910621, -0.42846823, 0.100097105, 0.2168974, -0.46811408, 0.040332768, 0.053691655, -0.22386843, -0.34109187]
GOLD TOK: 	 [['hate', '##ful']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he said that .'
GOLD SEQ: 	 b'he just said that .'
PRED SEQ:	 b'he claimed that .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.30518815, -0.065449014, -0.011523455, -0.20337865]
GOLD TOK: 	 [['just']]
PRED TOK: 	 [['claimed']]
################################################################################
IN SEQ: 	 b"the miners are out of work , they ' re out of work ."
GOLD SEQ: 	 b"the miners are out of work , they ' re totally out of work ."
PRED SEQ:	 b"the miners are out of work , they ' re out of work ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.40544435, -0.24686229, 0.10386778, 0.11533623, 0.2986774, 0.17660147, -0.23412564, 0.014403358, -0.0900785, -0.045196265, 0.08801502, 0.26017678, 0.21895674, -0.34024912]
GOLD TOK: 	 [['totally']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts completely tax - free .'
PRED SEQ:	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.11074489, 0.12623167, 0.09400818, -0.06309053, 0.1519438, 0.06376378, -0.02767419, -0.4552642, -0.060020007, 0.012267433, 0.15006359, 0.08475133, 0.36622554, 0.18861519, -0.13978323, 0.09330693, -0.011741802, -0.31948626, -0.3472184]
GOLD TOK: 	 [['completely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a understanding of many , many differences .'
GOLD SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
PRED SEQ:	 b'we will pursue these relationships with their eyes wide open , and a understanding of many , many differences .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.41700044, -0.43467456, 0.16128977, 0.25452977, -0.10438159, 0.30329353, 0.031022213, 0.104867, 0.33334565, 0.36131483, -0.16122204, -0.027090251, 0.014998823, -0.29351458, 0.14104582, 0.15981013, -0.19725268, 0.008912459, 0.109823726, -0.49140206]
GOLD TOK: 	 [['clear'], ['our']]
PRED TOK: 	 [['their']]
################################################################################
IN SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
PRED SEQ:	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.18053408, 0.2086601, -0.20567468, 0.20478076, 0.25039685, -0.004399106, -0.11575511, 0.13086517, 0.1374646, 0.33109993, 0.25506663, 0.22136542, -0.068041384, -0.18704802, -0.104701295, -0.33193004, -0.29838473, 0.09044419, 0.16846362, -0.3267809, -0.6419045, -0.6202724, -0.49930602, -0.24392837, -0.14612958, -0.22798413, -0.061126918, -0.20735347, -0.4512813]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in the 1940s , in the 1940s , the united states'
GOLD SEQ: 	 b'in the 1940s we saved the world .'
PRED SEQ:	 b'in the 1940s , in the 1940s , the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.17244765, 0.2231884, 0.2593708, 0.30518988, 0.44082993, 0.36186296, 0.33480856, 0.07624369, 0.26746058, 0.26368576, 0.20216216]
GOLD TOK: 	 [['we', 'saved'], ['world', '.']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
PRED SEQ:	 b'under the trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.42348912, -0.25782883, -0.13481832, -0.024759285, -0.16786045, -0.032511592, -0.08824968, -0.17937002, -0.07738754, -0.033923313, -0.11990349, -0.091231436, -0.28615844, -0.31118917, -0.20409796, -0.07704289, -0.14073877, -0.2137773, -0.16717736, -0.24932286, -0.27946478, -0.43730578, -0.5260875]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'one thing i can promise you is this : i will always tell you the truth .'
GOLD SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
PRED SEQ:	 b'one thing i can promise you is this : i will always tell you the truth .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.4988939, -0.29265988, -0.47623596, -0.43063128, -0.3320089, -0.11735906, -0.08906877, -0.35875806, -0.27240872, -0.5632431, -0.6036465, -0.36942488, -0.36004847, -0.09007074, -0.40650737, -0.40194905, -0.49541116]
GOLD TOK: 	 [['but']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
GOLD SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
PRED SEQ:	 b'obama ##care is a disaster , people are dying with it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.27316874, -0.2200819, -0.13451579, -0.20452961, -0.23659074, -0.23727916, 0.015074417, 0.1074381, 0.056196548, -0.15926598, -0.06592794, -0.2571575]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
PRED SEQ:	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.36326718, -0.30652943, -0.14584157, -0.19688515, -0.36562908, -0.30695954, -0.19764778, -0.1381579, -0.1464762, -0.3028192, -0.06957804, -0.20212549, -0.27781457, 0.016854823, -0.33246076, -0.22383288, -0.17020375, -0.10664995, -0.16725172, -0.16283411, -0.29058072]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and i have to tell you , the colleges are viewing the students as a to it .'
GOLD SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
PRED SEQ:	 b'and i have to tell you , the colleges are viewing the students as a to it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.08035493, -0.4007135, -0.5064795, -0.29883206, -0.37517256, -0.18284991, -0.3020942, 0.17866826, 0.22387165, 0.17091487, 0.16333461, 0.25717562, 0.09932399, 0.09359369, -0.03842316, -0.06920643, -0.013681203, 0.07892491]
GOLD TOK: 	 [['just'], ['con']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he hopes to be out in the white house .'
GOLD SEQ: 	 b'he ought to be out in the white house .'
PRED SEQ:	 b'he hopes to be out in the white house .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.17618237, 0.15430596, 0.22452581, 0.078462474, -0.09309564, -0.032164477, -0.22221118, -0.30253536, -0.28811225, -0.51936996]
GOLD TOK: 	 [['ought']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he has been a as a president .'
GOLD SEQ: 	 b'he has been a disaster as a president .'
PRED SEQ:	 b'he has been an alleged as a president .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.2328937, -0.016406346, -0.00010494888, -0.043567836, -0.017433919, -0.028418496, -0.12966135, -0.20224525]
GOLD TOK: 	 [['disaster']]
PRED TOK: 	 [['an', 'alleged']]
################################################################################
IN SEQ: 	 b'we want to admit people to our country who will support our values and love our people .'
GOLD SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
PRED SEQ:	 b'we want to admit people to our country who will support our values and love our people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.42344588, -0.28106892, -0.06210487, 0.022443935, -0.066911384, -0.1026254, -0.25566638, -0.07332337, -0.097826585, -0.2629315, -0.19443731, -0.11505735, -0.13847971, -0.009175301, -0.06919375, -0.15108791, -0.110419005, -0.50073224]
GOLD TOK: 	 [['only']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from neighborhoods .'
GOLD SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from our neighborhoods .'
PRED SEQ:	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from neighborhoods .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.18474412, -0.41353458, -0.157876, 0.14526908, 0.13609704, -0.24296123, 0.06825563, -0.2823958, 0.044019785, -0.26199532, 0.04367695, 0.21644786, 0.27219206, 0.045831338, 0.029931046, -0.017051892, 0.17497444, 0.08560527, -0.1619398, -0.16845077, 0.13107799, -0.2250326, -0.5728197, -0.030992761, 0.04098107, 0.16962346, -0.029889718, 0.3015747, 0.19559523, -0.6393628]
GOLD TOK: 	 [['our']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it is ok . as the baby that had a voice that was designed to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD SEQ: 	 b"it is ok . as the baby that had a voice that was superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
PRED SEQ:	 b"it is ok ##d , while as the baby that had a voice that was designed to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.037068933, 0.096986316, 0.10755418, 0.07798524, 0.025730051, -0.11814526, 0.15452008, 0.021631502, 0.09360216, 0.21792251, 0.04514881, 0.10855645, 0.054736666, -0.07505643, -0.15274476, -0.2516181, 0.21691972, 0.16024522, 0.33236843, 0.30073038, 0.12236643, 0.14248812, -0.06703613, 0.26567876, 0.055659782, 0.043411605, -0.056886874, 0.12929383, 0.091148876, 0.028106716, 0.024724275, -0.16711016, 0.24206164, -0.48290205, 0.01722959, 0.17234346, -0.059210077, -0.08887246, 0.14291722, -0.32110885, -0.22687215]
GOLD TOK: 	 [['superior']]
PRED TOK: 	 [['##d', ',', 'while']]
################################################################################
IN SEQ: 	 b'i want to create safe zones in the middle east .'
GOLD SEQ: 	 b'i want to create safe zones in the middle east .'
PRED SEQ:	 b'i want to create safe zones in the middle east .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.24575795, -0.09833078, 0.20298532, 0.05164738, 0.22518381, 0.1567207, 0.1993694, 0.17368467, -0.116248325, -0.089285925, -0.44057065]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ claiming that boo ' re we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
PRED SEQ:	 b"[ arguing that boo ' re we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.47859713, -0.10678414, 0.12979242, -0.08138724, 0.18681021, -0.047713637, 0.055053826, -0.076703265, -0.08718924, 0.24059671, 0.2673226, 0.15908118, 0.11849439, 0.18863332, -0.063997686, 0.021881597, -0.21292678, -0.07930331, -0.06230698, -0.02371329, -0.20541976, -0.12202497, -0.27589577, -0.12211132, -0.2666648, -0.10218483, -0.24233262, -0.06153123, 0.073885284, -0.14868292, -0.54905987]
GOLD TOK: 	 [['##ing', ']']]
PRED TOK: 	 [['arguing']]
################################################################################
IN SEQ: 	 b"and it ' s not only one day ."
GOLD SEQ: 	 b"and it ' s not even one day ."
PRED SEQ:	 b"and it ' s not one day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.21617365, -0.17415823, 0.13602245, -0.07453944, -0.12521824, 0.023274649, -0.08725768, -0.18861984, -0.21863723]
GOLD TOK: 	 [['even']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she may have changed those laws when she was in the senate .'
GOLD SEQ: 	 b'she could have changed those laws when she was in the senate .'
PRED SEQ:	 b'she is may have changed those laws when she was in the senate .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.19016045, -0.05029972, -0.14623123, 0.022387996, 0.37908763, 0.09901488, 0.26602176, -0.14922279, -0.08057393, 0.030778572, 0.02546084, 0.075259924, -0.42246303]
GOLD TOK: 	 [['could']]
PRED TOK: 	 [['is']]
################################################################################
IN SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
PRED SEQ:	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0037110224, -0.031748608, 0.11770769, 0.16141826, -0.06465349, 0.25552756, 0.19529021, 0.05093269, 0.27868307, 0.15572539, 0.3914269, 0.3846415, 0.578213, 0.10329219, -0.20844175, 0.18172367, 0.1204436, -0.05376736, -0.3000066, 0.20100072, 0.19629788, 0.0019078031, 0.27541625, -0.11906333, 0.07866099, 0.12652166, 0.37502608, 0.31101847, 0.4001059, -0.62716776, -0.04102417, 0.2996053, -0.06163062, 0.17072396, 0.2521632, -0.6536733, 0.0023940727, 0.23914523, 0.35725954, 0.30986884, -0.23365858]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we have to solve this this .'
GOLD SEQ: 	 b'we have to solve this crisis .'
PRED SEQ:	 b'we have to solve this this .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [-0.41909283, -0.2346404, -0.2359632, -0.39406294, -0.35157302, -0.36343926, -0.3824115]
GOLD TOK: 	 [['crisis']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is in a sense more important .'
GOLD SEQ: 	 b'this is maybe in a sense even more important .'
PRED SEQ:	 b'this is in a sense more than .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.26677155, -0.29459575, 0.10612509, -0.09107508, -0.33612868, -0.1741305, 0.019090354, -0.39159465]
GOLD TOK: 	 [['maybe'], ['even']]
PRED TOK: 	 [['than']]
################################################################################
IN SEQ: 	 b"[ film s but that that ' s a really big deal ."
GOLD SEQ: 	 b"[ applause ] but that ' s a really big deal ."
PRED SEQ:	 b"[ film s but that that ' s a big deal ."
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.26543346, -0.011366695, -0.13193917, 0.059657745, 0.24247688, 0.20097226, -0.4375772, 0.15903747, 0.23058935, -0.011148039, 0.2751701, 0.15837428, -0.22751999]
GOLD TOK: 	 [['applause', ']']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she is designed to go home and go to sleep .'
GOLD SEQ: 	 b'she wants to go home and go to sleep .'
PRED SEQ:	 b'she is claimed to go home and go to sleep .'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.27706325, -0.010287836, -0.20068495, 0.03390286, 0.06709878, 0.054168157, 0.07216817, 0.05840876, 0.2804293, -0.008977491, -0.49522397]
GOLD TOK: 	 [['wants']]
PRED TOK: 	 [['claimed']]
################################################################################
IN SEQ: 	 b"if something isn ' t working , it replace it ."
GOLD SEQ: 	 b"if something isn ' t working , you replace it ."
PRED SEQ:	 b"if something isn ' t working , it may be the attempt to replace it replace it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.26288232, -0.001201326, 0.19502729, -0.5226285, -0.058764815, 0.09846116, -0.1757856, -0.19571283, -0.3176486, -0.003049098, -0.22712152]
GOLD TOK: 	 [['you']]
PRED TOK: 	 [['may', 'be', 'the', 'attempt', 'to', 'replace', 'it']]
################################################################################
IN SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
PRED SEQ:	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.28151897, -0.29815534, -0.23717418, -0.14497843, 0.0012808442, 0.050246187, -0.00631848, -0.1745032, -0.01822643, -0.009082884, -0.09034622, -0.119634055, -0.11874664, -0.09580033, -0.13656186, -0.07853787, 0.17619118, 0.02204255, 0.1993745, 0.006719142, -0.5647344]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a coincidence .'
GOLD SEQ: 	 b'just a coincidence .'
PRED SEQ:	 b'a coincidence .'
GOLD DIST: 	 [0.0, 0.0, 0.0]
PRED DIST: 	 [-0.5698241, -0.47534868, -0.4977507]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD SEQ: 	 b"but even more importantly , he ' s a brilliant physician and i hope he will be very much involved with my administration in the coming years ."
PRED SEQ:	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.12108647, 0.0073040873, 0.011568844, 0.25169367, 0.16025117, 0.35391, 0.2383687, 0.060214624, -0.1688906, -0.20706445, 0.06978946, -0.30595517, -0.19921656, 0.25167894, -0.064485624, -0.03366138, -0.07405943, -0.023927376, -0.03280915, 0.057214044, -0.25454107, -0.2802142, -0.038723588, -0.30473608, -0.1989652, -0.4049137, -0.22757174]
GOLD TOK: 	 [['brilliant']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he stated that his plan would reduce premium ##s by $ 2 , 500 dollars .'
GOLD SEQ: 	 b'he promised his plan would reduce premium ##s by $ 2 , 500 dollars .'
