################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
PRED DIST: 	 [-0.33222094, -0.24097389, -0.36944318, -0.10792102, -0.23312265, -0.23011412, -0.20873037, -0.29188585, -0.28743333, -0.29682598, -0.5925486, -0.48707727, -0.43245834, -0.10936307, -0.41676384, -0.4298951]
GOLD TOK: 	 [['absolutely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD SEQ: 	 b'this is the hate ##ful attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
PRED SEQ:	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.34783015, -0.5322937, -0.26415816, -0.16640648, -0.2422964, -0.16416162, -0.5398348, -0.22314169, -0.3404482, -0.0056908615, -0.6599325, -0.2226327, -0.50755745, -0.584292, -0.66962063, -0.3183118, -0.31524196, -0.4376138, -0.57039165, -0.42902803, -0.46956867, -0.55079675]
GOLD TOK: 	 [['hate', '##ful']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he said that .'
GOLD SEQ: 	 b'he just said that .'
PRED SEQ:	 b'he claimed that .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.54772884, -0.49372116, -0.448987, -0.5682002]
GOLD TOK: 	 [['just']]
PRED TOK: 	 [['claimed']]
################################################################################
IN SEQ: 	 b"the miners are out of work , they ' re out of work ."
GOLD SEQ: 	 b"the miners are out of work , they ' re totally out of work ."
PRED SEQ:	 b"the miners are out of work , they ' re out of work ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.57424253, -0.5781858, -0.5477574, -0.39465663, -0.503458, -0.5928962, -0.31428245, -0.5522562, -0.33978832, -0.3854146, -0.3462458, -0.3837188, -0.4688331, -0.59456086]
GOLD TOK: 	 [['totally']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD SEQ: 	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts completely tax - free .'
PRED SEQ:	 b'families can contribute up to $ 2 , 000 dollars a year to these accounts tax - free .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.7121486, -0.7659262, -0.6154331, -0.48779994, -0.3878671, -0.52358985, -0.3523234, 0.1423696, -0.52325165, -0.688606, -0.42435342, -0.48335856, -0.52049863, -0.5058864, -0.37006843, -0.66351914, -0.55850005, -0.51750803, -0.71138835]
GOLD TOK: 	 [['completely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a understanding of many , many differences .'
GOLD SEQ: 	 b'we will pursue these relationships with our eyes wide open , and a clear understanding of our many , many differences .'
PRED SEQ:	 b'we will pursue these relationships with their eyes wide open , and a understanding of many , many differences .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.52340645, -0.6445401, -0.24121423, -0.287049, -0.24452072, 0.053272218, -0.49396843, -0.04791689, 0.0029128343, -0.12460019, 0.06805581, -0.17689754, -0.15505022, -0.08697549, -0.18170837, 0.05254011, -0.0037645102, -0.015346151, -0.25681308, -0.47577882]
GOLD TOK: 	 [['clear'], ['our']]
PRED TOK: 	 [['their']]
################################################################################
IN SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD SEQ: 	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
PRED SEQ:	 b'big business , elite media and major donors are lining up behind the campaign of my opponent because they know she will keep our rigged system in place .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.19900304, -0.24959196, -0.0727853, -0.14041199, -0.29505867, -0.483738, -0.31215528, -0.21431933, -0.32305515, -0.113959394, -0.056160554, -0.04837134, -0.013485432, -0.3025472, -0.47679067, -0.20970333, -0.26962692, -0.17430505, -0.26089278, -0.2563035, -0.17308304, -0.24773386, -0.195576, -0.48386735, -0.21145359, -0.31986907, 0.042002782, -0.0944693, -0.26747608]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in the 1940s , in the 1940s , the united states'
GOLD SEQ: 	 b'in the 1940s we saved the world .'
PRED SEQ:	 b'in the 1940s , in the 1940s , the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [-0.22245641, -0.008411542, -0.17288777, -0.02019, 0.028970689, 0.059663907, -0.036913507, -0.16364846, -0.06715383, -0.21985993, -0.20259923]
GOLD TOK: 	 [['we', 'saved'], ['world', '.']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD SEQ: 	 b'under a trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
PRED SEQ:	 b'under the trump administration , we are going to bring back our steel jobs and we are going to rebuild this nation .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.23923555, -0.31001952, -0.3468277, -0.33694082, -0.050685763, -0.3907472, -0.3802886, -0.42590278, -0.31154555, -0.4186082, -0.44518563, -0.45682567, -0.2979989, -0.4868283, -0.49666208, -0.4799174, -0.41242072, -0.42323318, -0.25877017, -0.23153378, -0.07647787, -0.30295348, -0.34299055]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'one thing i can promise you is this : i will always tell you the truth .'
GOLD SEQ: 	 b'but one thing i can promise you is this : i will always tell you the truth .'
PRED SEQ:	 b'one thing i can promise you is this : i will always tell you the truth .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.16747531, -0.4599157, -0.3807646, -0.4920481, -0.4428821, -0.41855228, -0.3568278, -0.31407717, -0.47135663, -0.111207545, -0.16462864, -0.06501646, -0.1420848, -0.22829473, -0.07617906, -0.23532256, -0.24098277]
GOLD TOK: 	 [['but']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
GOLD SEQ: 	 b'obama ##care is a disaster , people are dying with it .'
PRED SEQ:	 b'obama ##care is a disaster , people are dying with it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.156665, -0.18730882, -0.123809144, -0.08273944, -0.22296521, -0.055965632, -0.2312406, -0.2603309, -0.27766532, -0.23261175, -0.2953605, -0.26164362]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD SEQ: 	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
PRED SEQ:	 b"i mean , we have to do something where there ' s value in exchange for something that it requires ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.18270195, -0.36648214, -0.22070783, -0.6175657, -0.50593716, -0.66858554, -0.56568015, -0.3959404, -0.33975607, -0.40837544, -0.21569154, -0.2700352, -0.3531408, -0.022726052, -0.35521564, -0.5618899, -0.29198876, -0.2654717, -0.32963365, -0.30319983, -0.29350397]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'and i have to tell you , the colleges are viewing the students as a to it .'
GOLD SEQ: 	 b'and i have to tell you , the colleges are viewing the students as just a con to it .'
PRED SEQ:	 b'and i have to tell you , the colleges are viewing the students as a to it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.14504597, -0.020341143, 0.0011269413, -0.031041168, 0.047049128, -0.17744592, 0.03191814, -0.24088219, -0.3619243, -0.3174746, -0.0996722, -0.32408303, -0.39950728, -0.27233195, -0.16375357, -0.24214764, -0.20807387, -0.20157066]
GOLD TOK: 	 [['just'], ['con']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he hopes to be out in the white house .'
GOLD SEQ: 	 b'he ought to be out in the white house .'
PRED SEQ:	 b'he hopes to be out in the white house .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.44060084, -0.21880592, -0.25292736, -0.23785727, -0.20712051, -0.09634649, -0.18766463, -0.2079257, -0.3532752, -0.37082517]
GOLD TOK: 	 [['ought']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he has been a as a president .'
GOLD SEQ: 	 b'he has been a disaster as a president .'
PRED SEQ:	 b'he has been an alleged as a president .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.26940086, -0.20461734, 0.022437438, 0.0046208054, -0.026602972, -0.048095837, -0.08346643, -0.2702598]
GOLD TOK: 	 [['disaster']]
PRED TOK: 	 [['an', 'alleged']]
################################################################################
IN SEQ: 	 b'we want to admit people to our country who will support our values and love our people .'
GOLD SEQ: 	 b'we only want to admit people to our country who will support our values and love our people .'
PRED SEQ:	 b'we want to admit people to our country who will support our values and love our people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.28890437, -0.38222256, -0.2694405, -0.2111066, -0.3755448, -0.27289248, -0.25463676, -0.2943744, -0.50853723, -0.46127656, -0.37371343, -0.3547915, -0.32140523, -0.3625391, -0.34274185, -0.40424463, -0.38881558, -0.2964826]
GOLD TOK: 	 [['only']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from neighborhoods .'
GOLD SEQ: 	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from our neighborhoods .'
PRED SEQ:	 b'i will invest in training and funding both local and federal law enforcement operations to remove the gang members , drug dealers , and criminal cartel ##s from neighborhoods .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.41300794, -0.6262781, -0.463668, -0.27505633, -0.1762336, -0.49432945, -0.38591647, -0.65743095, -0.6412364, -0.6898865, -0.4099053, -0.5597218, -0.38775885, -0.43415073, -0.4047196, -0.14871246, -0.3125178, -0.4722268, -0.42791933, 0.119486764, -0.4742657, -0.5978862, 0.054771706, -0.43588114, -0.4549759, -0.40153077, -0.540449, -0.017099231, -0.15383178, -0.5030265]
GOLD TOK: 	 [['our']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"it is ok . as the baby that had a voice that was designed to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD SEQ: 	 b"it is ok . as the baby that had a voice that was superior to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
PRED SEQ:	 b"it is ok ##d , while as the baby that had a voice that was designed to pa ##var ##otti continued to cry - - i remember , i told her to stay , don ' t worry , ma ' am ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.20589568, -0.22897615, -0.2434125, -0.47248375, -0.45972538, -0.044192284, -0.16314241, -0.29451042, -0.37690628, -0.26469997, -0.20199506, -0.4983525, -0.4320433, -0.25545192, -0.22964983, -0.2079347, -0.38710496, -0.30706346, -0.3301628, -0.48932403, -0.33811373, -0.44478148, -0.3320598, -0.21418124, -0.33393532, -0.002774544, -0.34331274, -0.042383738, -0.26433954, -0.24154618, -0.23521018, -0.21967064, -0.8287482, 0.071675494, -0.80499184, -0.28621858, -0.20850602, -0.22898883, -0.61357474, -0.3798865, -0.21521063]
GOLD TOK: 	 [['superior']]
PRED TOK: 	 [['##d', ',', 'while']]
################################################################################
IN SEQ: 	 b'i want to create safe zones in the middle east .'
GOLD SEQ: 	 b'i want to create safe zones in the middle east .'
PRED SEQ:	 b'i want to create safe zones in the middle east .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.4441739, -0.5195893, -0.50046545, -0.45181364, -0.38166404, -0.38097382, -0.29409134, -0.2691131, -0.08169423, -0.3274254, -0.40608022]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"[ claiming that boo ' re we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD SEQ: 	 b"[ boo ##ing ] we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
PRED SEQ:	 b"[ arguing that boo ' re we ' re fighting for every citizen who believes that government should serve the people , not the donors and not the special interests ."
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.52802527, -0.4763354, -0.46479663, -0.5502685, -0.26279217, -0.31219363, -0.46187872, -0.19898926, -0.52148944, -0.3212769, -0.48462284, -0.40820763, -0.40827385, -0.46194288, -0.4151175, -0.65729284, -0.7472939, -0.4181446, -0.30424434, -0.31265575, -0.5846833, -0.026117876, -0.45258427, -0.22069041, -0.40506658, -0.4653988, -0.450918, -0.22500965, -0.43042117, -0.45409673, -0.5401674]
GOLD TOK: 	 [['##ing', ']']]
PRED TOK: 	 [['arguing']]
################################################################################
IN SEQ: 	 b"and it ' s not only one day ."
GOLD SEQ: 	 b"and it ' s not even one day ."
PRED SEQ:	 b"and it ' s not one day ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.38170385, -0.48497367, -0.32546216, -0.18149978, -0.46376872, -0.26508212, -0.36847252, -0.3517514, -0.3919397]
GOLD TOK: 	 [['even']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she may have changed those laws when she was in the senate .'
GOLD SEQ: 	 b'she could have changed those laws when she was in the senate .'
PRED SEQ:	 b'she is may have changed those laws when she was in the senate .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.7565696, -0.7943609, -0.80833554, -0.53511566, -0.6119931, -0.63904834, -0.44531852, -0.46305364, -0.20802452, -0.28463116, -0.384481, -0.6726824, -0.6258576]
GOLD TOK: 	 [['could']]
PRED TOK: 	 [['is']]
################################################################################
IN SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD SEQ: 	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
PRED SEQ:	 b'the boston globe writes that a globe review of 323 criminals released in new england from 2008 to 2012 found that as many as 30 percent committed new offenses , including rape , attempted murder , and child mole ##station .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3939804, -0.17328592, -0.13816404, -0.12201222, -0.4960524, -0.23284853, -0.19656993, -0.1908378, -0.41871303, -0.13375469, -0.51794314, -0.4116286, -0.2343321, -0.6590079, -0.5505473, -0.35776138, -0.20545045, -0.45020562, -0.27297252, -0.3502372, -0.45112523, 0.22051933, 0.18296082, 0.12519015, -0.119547, -0.31662634, -0.38140142, -0.42026013, -0.431511, -0.0154183395, -0.29146245, -0.35844964, -0.12038222, -0.34991068, -0.30278552, -0.06591764, -0.6191523, -0.5645932, -0.12401123, -0.33322436, -0.36563784]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we have to solve this this .'
GOLD SEQ: 	 b'we have to solve this crisis .'
PRED SEQ:	 b'we have to solve this this .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [-0.33187538, -0.22101544, -0.22077304, -0.119946755, -0.08590282, -0.03669356, -0.24938922]
GOLD TOK: 	 [['crisis']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is in a sense more important .'
GOLD SEQ: 	 b'this is maybe in a sense even more important .'
PRED SEQ:	 b'this is in a sense more than .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.22836316, -0.2829268, 0.05567818, -0.015812375, -0.06927224, -0.23679218, -0.102499045, -0.23398292]
GOLD TOK: 	 [['maybe'], ['even']]
PRED TOK: 	 [['than']]
################################################################################
IN SEQ: 	 b"[ film s but that that ' s a really big deal ."
GOLD SEQ: 	 b"[ applause ] but that ' s a really big deal ."
PRED SEQ:	 b"[ film s but that that ' s a big deal ."
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.2670111, -0.20588274, -0.20570922, -0.11148661, -0.08745581, -0.050410934, 0.10973298, 0.09536269, 0.04856637, 0.077304974, -0.07388249, -0.09005562, -0.39081916]
GOLD TOK: 	 [['applause', ']']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she is designed to go home and go to sleep .'
GOLD SEQ: 	 b'she wants to go home and go to sleep .'
PRED SEQ:	 b'she is claimed to go home and go to sleep .'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3318774, -0.18440312, -0.141072, -0.37265792, -0.4214704, -0.21196952, -0.4519957, -0.41888592, -0.25039253, -0.24556078, -0.37726805]
GOLD TOK: 	 [['wants']]
PRED TOK: 	 [['claimed']]
################################################################################
IN SEQ: 	 b"if something isn ' t working , it replace it ."
GOLD SEQ: 	 b"if something isn ' t working , you replace it ."
PRED SEQ:	 b"if something isn ' t working , it may be the attempt to replace it replace it ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.18648213, -0.12501417, -0.05745571, 0.15037644, -0.0019218028, -0.07096164, 0.26519495, -0.053977005, 0.0138685405, -0.17326352, -0.36282432]
GOLD TOK: 	 [['you']]
PRED TOK: 	 [['may', 'be', 'the', 'attempt', 'to', 'replace', 'it']]
################################################################################
IN SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD SEQ: 	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
PRED SEQ:	 b'the obama - clinton agenda of tax , spend and regulate has created a silent nation of job ##less americans .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.36086598, -0.27785462, -0.3321396, -0.3169438, -0.09872258, -0.26406676, -0.54989827, -0.10210594, -0.59838694, -0.48625776, -0.5330174, -0.27200034, -0.21122846, -0.37605703, -0.37637514, -0.2735741, -0.38054746, -0.6564949, -0.31364763, -0.60071504, -0.4498342]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a coincidence .'
GOLD SEQ: 	 b'just a coincidence .'
PRED SEQ:	 b'a coincidence .'
GOLD DIST: 	 [0.0, 0.0, 0.0]
PRED DIST: 	 [-0.46077293, -0.4834779, -0.55392987]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD SEQ: 	 b"but even more importantly , he ' s a brilliant physician and i hope he will be very much involved with my administration in the coming years ."
PRED SEQ:	 b"but even more importantly , he ' s a physician and i hope he will be very much involved with my administration in the coming years ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.08734204, -0.25764546, -0.15318032, 0.02797389, -0.262289, -0.22900626, -0.07842954, 0.0014968961, -0.098830745, -0.18087912, -0.25029582, -0.14504696, -0.22174755, -0.30678165, -0.29682904, -0.23747393, -0.30403855, -0.21643724, -0.12481988, -0.12678948, -0.043587066, -0.17371908, -0.2880856, -0.24159202, -0.41562873, -0.35952687, -0.18756512]
GOLD TOK: 	 [['brilliant']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he stated that his plan would reduce premium ##s by $ 2 , 500 dollars .'
GOLD SEQ: 	 b'he promised his plan would reduce premium ##s by $ 2 , 500 dollars .'
